director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Ike Barinholtz,Ike Barinholtz,Tiffany Haddish,Nora Dunn,Comedy Thriller,the oath,Ike Barinholtz Tiffany Haddish Nora Dunn Ike Barinholtz Comedy Thriller
Nick Searcy,Earl Billings,Dean Cain,Sarah Jane Morris,Drama Crime,gosnell: the trial of america's biggest serial killer,Earl Billings Dean Cain Sarah Jane Morris Nick Searcy Drama Crime
"Hannah Marks, Joey Power (directors/screenplay), Jeremy Allen White, Maika Monroe, DeRon Horton, Sasha Lane, Dean Winters, Joe Keery, Gina Gershon, Marisa Tomei",Hannah Marks,Joey Power (directors/screenplay),Jeremy Allen White,Romance Drama,after everything,"Hannah Marks Joey Power (directors/screenplay) Jeremy Allen White Hannah Marks, Joey Power (directors/screenplay), Jeremy Allen White, Maika Monroe, DeRon Horton, Sasha Lane, Dean Winters, Joe Keery, Gina Gershon, Marisa Tomei Romance Drama"
David Gordon Green,Jamie Lee Curtis,Judy Greer,Andi Matichak,Horror,halloween,Jamie Lee Curtis Judy Greer Andi Matichak David Gordon Green Horror
George Tillman Jr.,Amandla Stenberg,Regina Hall,Russell Hornsby,Crime Drama,the hate u give,Amandla Stenberg Regina Hall Russell Hornsby George Tillman Jr. Crime Drama
Marielle Heller,Melissa McCarthy,Richard E. Grant,unknown,Drama Crime Comedy,can you ever forgive me?,Melissa McCarthy Richard E. Grant unknown Marielle Heller Drama Crime Comedy
Jonah Hill,Sunny Suljic,Lucas Hedges,Na-Kel Smith,Drama Comedy,mid90s,Sunny Suljic Lucas Hedges Na-Kel Smith Jonah Hill Drama Comedy
Paul Dano,Carey Mulligan,Jake Gyllenhaal,Ed Oxenbould,Drama,wildlife,Carey Mulligan Jake Gyllenhaal Ed Oxenbould Paul Dano Drama
Elizabeth Chomko,Hilary Swank,Michael Shannon,Robert Forster,Drama,what they had,Hilary Swank Michael Shannon Robert Forster Elizabeth Chomko Drama
Sacha Gervasi,Peter Dinklage,Jamie Dornan,Andy García,Drama TV Movie,my dinner with hervé,Peter Dinklage Jamie Dornan Andy García Sacha Gervasi Drama TV Movie
Donovan Marsh,Gerard Butler,Gary Oldman,Common,Action Adventure Thriller,hunter killer,Gerard Butler Gary Oldman Common Donovan Marsh Action Adventure Thriller
David Kerr,Rowan Atkinson,Ben Miller,Olga Kurylenko,Action Adventure Comedy,johnny english strikes again,Rowan Atkinson Ben Miller Olga Kurylenko David Kerr Action Adventure Comedy
Luca Guadagnino,Dakota Johnson,Tilda Swinton,Mia Goth,Horror,suspiria,Dakota Johnson Tilda Swinton Mia Goth Luca Guadagnino Horror
David G. Evans,Sarah Drew,Justin Bruening,Eddie Kaulukukui,Drama War,indivisible,Sarah Drew Justin Bruening Eddie Kaulukukui David G. Evans Drama War
David McCracken,Mike C. Nelson,Jenni Melear,David McCracken,Action Drama Thriller,bullitt county,Mike C. Nelson Jenni Melear David McCracken David McCracken Action Drama Thriller
Bryan Singer[a],Rami Malek,Lucy Boynton,Gwilym Lee,Music Drama,bohemian rhapsody,Rami Malek Lucy Boynton Gwilym Lee Bryan Singer[a] Music Drama
"Lasse Hallström, Joe Johnston",Keira Knightley,Mackenzie Foy,Eugenio Derbez,Fantasy Adventure Family,the nutcracker and the four realms,"Keira Knightley Mackenzie Foy Eugenio Derbez Lasse Hallström, Joe Johnston Fantasy Adventure Family"
Tyler Perry,Tiffany Haddish,Tika Sumpter,Omari Hardwick,Drama Comedy,nobody's fool,Tiffany Haddish Tika Sumpter Omari Hardwick Tyler Perry Drama Comedy
